index_a,index_b
0,0
0,1
0,2
0,4
0,5
0,6
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,85
0,86
0,87
0,89
0,90
0,91
0,93
0,94
0,97
0,99
0,100
0,101
0,108
0,109
0,110
0,111
1,0
1,1
1,2
1,4
1,5
1,6
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,85
1,86
1,87
1,89
1,90
1,91
1,93
1,94
1,97
1,99
1,100
1,101
1,108
1,109
1,110
1,111
2,3
2,7
2,88
2,92
2,95
2,96
2,98
2,102
2,103
2,104
2,105
2,106
2,107
3,0
3,1
3,2
3,4
3,5
3,6
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,85
3,86
3,87
3,89
3,90
3,91
3,93
3,94
3,97
3,99
3,100
3,101
3,108
3,109
3,110
3,111
4,3
4,7
4,88
4,92
4,95
4,96
4,98
4,102
4,103
4,104
4,105
4,106
4,107
5,0
5,1
5,2
5,4
5,5
5,6
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,18
5,19
5,20
5,21
5,22
5,23
5,24
5,85
5,86
5,87
5,89
5,90
5,91
5,93
5,94
5,97
5,99
5,100
5,101
5,108
5,109
5,110
5,111
6,0
6,1
6,2
6,4
6,5
6,6
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
6,18
6,19
6,20
6,21
6,22
6,23
6,24
6,85
6,86
6,87
6,89
6,90
6,91
6,93
6,94
6,97
6,99
6,100
6,101
6,108
6,109
6,110
6,111
7,0
7,1
7,2
7,4
7,5
7,6
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,16
7,17
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,85
7,86
7,87
7,89
7,90
7,91
7,93
7,94
7,97
7,99
7,100
7,101
7,108
7,109
7,110
7,111
8,0
8,1
8,2
8,4
8,5
8,6
8,8
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,85
8,86
8,87
8,89
8,90
8,91
8,93
8,94
8,97
8,99
8,100
8,101
8,108
8,109
8,110
8,111
9,0
9,1
9,2
9,4
9,5
9,6
9,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,85
9,86
9,87
9,89
9,90
9,91
9,93
9,94
9,97
9,99
9,100
9,101
9,108
9,109
9,110
9,111
10,0
10,1
10,2
10,4
10,5
10,6
10,8
10,9
10,10
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,85
10,86
10,87
10,89
10,90
10,91
10,93
10,94
10,97
10,99
10,100
10,101
10,108
10,109
10,110
10,111
11,0
11,1
11,2
11,4
11,5
11,6
11,8
11,9
11,10
11,11
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,24
11,85
11,86
11,87
11,89
11,90
11,91
11,93
11,94
11,97
11,99
11,100
11,101
11,108
11,109
11,110
11,111
12,0
12,1
12,2
12,4
12,5
12,6
12,8
12,9
12,10
12,11
12,12
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,85
12,86
12,87
12,89
12,90
12,91
12,93
12,94
12,97
12,99
12,100
12,101
12,108
12,109
12,110
12,111
13,0
13,1
13,2
13,4
13,5
13,6
13,8
13,9
13,10
13,11
13,12
13,13
13,14
13,15
13,16
13,17
13,18
13,19
13,20
13,21
13,22
13,23
13,24
13,85
13,86
13,87
13,89
13,90
13,91
13,93
13,94
13,97
13,99
13,100
13,101
13,108
13,109
13,110
13,111
14,0
14,1
14,2
14,4
14,5
14,6
14,8
14,9
14,10
14,11
14,12
14,13
14,14
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,85
14,86
14,87
14,89
14,90
14,91
14,93
14,94
14,97
14,99
14,100
14,101
14,108
14,109
14,110
14,111
15,0
15,1
15,2
15,4
15,5
15,6
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,15
15,16
